Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
130406 TABATINGA;86;91;80;48;16;13;15;10;4;9;11;17;19;13;11;5;7;8;6;7
130410 TAPAUA;25;10;7;6;17;18;13;18;8;12;30;18;42;9;11;13;22;15;9;-
130420 TEFE;200;118;114;61;62;37;52;41;7;28;19;23;42;16;13;16;15;13;-;-
130423 TONANTINS;7;8;13;14;2;2;4;2;3;3;17;18;20;30;12;12;13;18;29;21
130426 UARINI;41;21;20;5;8;11;4;5;5;8;2;9;6;3;1;1;-;2;4;7
130430 URUCARA;78;56;27;16;6;12;13;3;5;9;9;6;5;8;2;1;2;1;-;-
130440 URUCURITUBA;-;-;8;2;1;2;5;4;2;-;1;2;2;-;-;-;1;-;6;-
140002 AMAJARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140005 ALTO ALEGRE;3;1;1;-;5;-;2;3;1;2;-;-;1;2;1;1;6;2;4;1
140010 BOA VISTA;634;830;719;571;643;710;580;502;330;307;324;258;412;234;233;156;135;117;87;22
140015 BONFIM;-;-;-;2;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-
140017 CANTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140020 CARACARAI;-;-;-;-;-;1;4;1;4;-;-;1;-;3;2;2;1;1;3;-
140023 CAROEBE;2;-;-;-;-;3;2;1;1;-;-;-;4;-;-;1;-;1;1;4
140028 IRACEMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140030 MUCAJAI;3;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
140040 NORMANDIA;1;-;1;1;4;1;2;1;2;-;-;2;4;4;-;1;1;1;1;1
140045 PACARAIMA;3;3;5;3;1;1;3;8;5;5;3;4;2;5;1;4;9;2;1;2
140047 RORAINOPOLIS;15;17;11;7;13;13;11;12;3;5;4;7;5;5;8;8;6;12;8;5
140050 SAO JOAO DA BALIZA;-;-;1;4;1;3;-;1;-;3;-;1;1;-;2;-;2;5;5;2
140060 SAO LUIZ;-;1;-;1;-;2;1;-;2;-;-;1;-;3;-;1;1;-;2;1
140070 UIRAMUTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150010 ABAETETUBA;74;65;187;134;139;108;86;89;92;66;58;76;70;67;68;72;87;13;9;5
150013 ABEL FIGUEIREDO;10;7;6;11;11;18;10;5;3;-;4;11;10;3;4;2;-;1;6;-
150020 ACARA;22;24;31;39;35;36;23;22;15;22;18;11;16;9;14;17;15;8;12;10
150030 AFUA;19;8;5;5;6;6;7;4;3;8;17;14;7;1;9;10;12;8;5;5
150034 AGUA AZUL DO NORTE;20;24;27;32;40;13;9;8;2;9;15;21;27;10;6;3;5;8;5;3
150040 ALENQUER;112;103;112;170;146;91;49;64;67;92;108;77;67;60;47;47;18;42;59;40
150050 ALMEIRIM;45;29;38;23;76;47;31;34;14;15;22;16;21;20;9;5;15;32;24;-
150060 ALTAMIRA;146;164;261;209;151;150;117;52;61;72;112;104;74;72;58;54;35;45;31;16
150070 ANAJAS;3;-;-;-;-;-;3;8;-;9;13;9;23;15;14;10;17;7;12;11
150080 ANANINDEUA;92;103;188;131;122;111;78;89;79;63;50;50;48;66;63;56;49;48;62;18
150085 ANAPU;15;27;58;44;56;34;37;37;36;49;49;20;50;33;14;46;45;39;-;-
150090 AUGUSTO CORREA;90;112;118;119;109;72;75;80;84;66;76;31;43;86;95;66;58;75;57;59
150095 AURORA DO PARA;22;18;26;37;34;18;20;15;10;8;5;16;44;16;16;18;5;-;-;-
150100 AVEIRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150110 BAGRE;-;-;-;-;-;-;-;-;5;1;-;1;7;3;-;-;2;6;6;-
150120 BAIAO;7;1;8;13;26;7;27;26;43;43;29;24;21;38;33;40;61;71;37;-
150125 BANNACH;1;-;1;2;17;1;1;1;1;4;1;4;6;-;-;1;1;2;3;-
150130 BARCARENA;33;28;127;90;79;34;53;33;41;32;22;24;52;27;13;31;27;23;47;21
150140 BELEM;1422;1400;3746;2562;1498;1344;1270;1078;844;869;859;894;1008;909;796;838;825;639;357;102
150145 BELTERRA;33;27;24;28;28;33;11;9;13;4;7;12;8;7;3;6;6;7;6;1
